id,book_id,language_id
51623,12406,1
51624,12407,8
58473,19217,1
58474,19218,1
58475,19219,5
58476,19220,1
58477,19221,1
58478,19222,1
58479,19223,1
58480,19224,1
58481,19225,1
58482,19226,1
58483,19227,5
58484,19228,5
58485,19229,1
58486,19230,1
58487,19231,1
58488,19232,5
58489,19233,5
58490,19234,5
58491,19235,1
58492,19236,1
58493,19237,1
58494,19238,1
58495,19239,1
58496,19240,1
58497,19241,1
58498,19242,1
58499,19243,1
58500,19244,1
58501,19245,1
58502,19246,1
58503,19247,1
58504,19248,5
58505,19249,5
58506,19250,1
58507,19251,1
58508,19252,1
58509,19253,1
58510,19254,1
58511,19255,1
58512,19256,1
58513,19257,1
58514,19258,1
58515,19259,1
58516,19260,21
58517,19261,1
58518,19262,1
58519,19263,1
58520,19264,1
58521,19265,1
58522,19266,5
58523,19267,1
58524,19268,1
58525,19269,1
58526,19270,1
58527,19271,1
58528,19272,1
58529,19273,1
58530,19274,1
58531,19275,1
58532,19276,1
58533,19277,1
58534,19278,1
58535,19279,1
58536,19280,1
58537,19281,1
58538,19282,1
58539,19283,1
58540,19284,1
58541,19285,1
58542,19286,1
58543,19287,1
58544,19288,1
58545,19289,1
58546,19290,1
58547,19291,1
58548,19292,1
58549,19293,22
58550,19294,1
58551,19295,1
58552,19296,1
58553,19297,1
58554,19298,1
58555,19299,1
58556,19300,1
58557,19301,1
58558,19302,1
58559,19303,1
58560,19304,1
58561,19305,14
58562,19306,14
58563,19307,1
58564,19308,1
58565,19309,1
58566,19310,1
58567,19311,1
58568,19312,1
58569,19313,1
58570,19314,1
58571,19315,1
58572,19316,1
58573,19317,1
58574,19318,1
58575,19319,1
58576,19320,21
58577,19321,1
58578,19322,1
58579,19323,1
58580,19324,1
58581,19325,1
58582,19326,14
58583,19327,14
58584,19328,1
58585,19329,1
58586,19330,1
58587,19331,1
58588,19332,1
58589,19333,1
58590,19334,1
58591,19335,1
58592,19336,1
58593,19337,1
58594,19338,1
58595,19339,1
58596,19340,1
58597,19341,1
58598,19342,1
58599,19343,1
58600,19344,5
58601,19345,5
58602,19346,1
58603,19347,1
58604,19348,1
58605,19349,1
58606,19350,1
58607,19351,1
58608,19352,1
58609,19353,1
58610,19354,1
58611,19355,1
58612,19356,1
58613,19357,1
58614,19358,1
58615,19359,1
58616,19360,1
58617,19361,1
58618,19362,1
58619,19363,1
58620,19364,1
58621,19365,1
58622,19366,1
58623,19367,1
58624,19368,1
58625,19369,1
58626,19370,1
58627,19371,1
58628,19372,21
58629,19373,1
58630,19374,21
58631,19375,13
58632,19376,1
