id,birth_year,death_year,name
163,1832,1873,"Gaboriau, Emile"
164,1859,1927,"Jerome, Jerome K. (Jerome Klapka)"
165,1898,1943,"Benét, Stephen Vincent"
166,1869,1935,"Robinson, Edwin Arlington"
167,1888,1964,"Dobie, J. Frank (James Frank)"
168,1795,1820,"Drake, Joseph Rodman"
169,1854,1915,"Gregory, Eliot"
170,1863,1919,"Fox, John"
171,1838,1914,"Muir, John"
172,1864,1916,"Davis, Richard Harding"
173,1881,1959,"Guest, Edgar A. (Edgar Albert)"
174,1876,1958,"Rinehart, Mary Roberts"
175,1853,1922,"Page, Thomas Nelson"
176,1861,1922,"Raleigh, Walter Alexander, Sir"
177,1831,1910,"Davis, Rebecca Harding"
178,1858,1939,"Eastman, Charles Alexander"
179,1876,1938,Zitkala-Sa
180,1842,,"McLaughlin, Marie L."
181,1847,1912,"Stoker, Bram"
182,,,Hesiod
183,1885,1968,"Ferber, Edna"
184,1872,1918,"McCrae, John"
185,1847,1919,"Shaw, Anna Howard"
186,1867,1947,"Jordan, Elizabeth Garver"
187,1872,1963,"Olcott, Frances Jenkins"
188,1809,1865,"Proudhon, P.-J. (Pierre-Joseph)"
189,1868,1920,"Porter, Eleanor H. (Eleanor Hodgman)"
190,1868,1934,"Austin, Mary Hunter"
191,1849,1909,"Jewett, Sarah Orne"
192,1843,1925,"Conwell, Russell H."
193,,1731,"Defoe, Daniel"
194,1838,1917,"Wheatley, Henry B. (Henry Benjamin)"
195,1842,1913,"Bierce, Ambrose"
196,,,"Barker, Nettie Garmer"
197,,1468,"Martorell, Joanot"
198,,1490,"Galba, Martí Joan de"
199,,1774,"Goldsmith, Oliver"
200,1872,1939,"Grey, Zane"
201,1871,1947,"Churchill, Winston"
202,1863,1947,"Machen, Arthur"
203,1872,1945,"Cranmer-Byng, L. (Launcelot)"
204,1544,1595,"Tasso, Torquato"
205,1863,1951,"Stacpoole, H. De Vere (Henry De Vere)"
206,1810,1865,"Gaskell, Elizabeth Cleghorn"
207,1834,1902,"Stockton, Frank Richard"
208,1894,1975,"Platt, Rutherford Hayes"
209,1884,1933,"Teasdale, Sara"
210,1812,1904,"Smiles, Samuel"
211,1868,1963,"Du Bois, W. E. B. (William Edward Burghardt)"
212,1753,1784,"Wheatley, Phillis"
213,1856,1915,"Hubbard, Elbert"
214,1848,1887,"Jefferies, Richard"
215,1803,1881,"Borrow, George"
216,1876,1941,"Anderson, Sherwood"
217,1879,1931,"Lindsay, Vachel"
218,1867,1911,"Phillips, David Graham"
219,1874,1926,"Houdini, Harry"
220,1850,1895,"Field, Eugene"
221,1841,1931,"Le Bon, Gustave"
222,1870,1919,"Irving, H. B. (Henry Brodribb)"
223,1869,1963,"Healy, William"
224,,,"Healy, Mary Tenney"
225,1824,1903,"Leland, Charles Godfrey"
226,1870,1930,"Parlette, Ralph Albert"
227,1878,1937,"Marquis, Don"
228,1866,1947,"Le Gallienne, Richard"
229,1873,1946,"White, Stewart Edward"
230,1816,1877,"Steinmetz, Andrew"
231,1634,1693,"La Fayette, Madame de (Marie-Madeleine Pioche de La Vergne)"
232,1697,1763,"Prévost, abbé"
233,1799,1850,"Balzac, Honoré de"
234,1858,1932,"Chesnutt, Charles W. (Charles Waddell)"
235,1873,,"Bryant, Sara Cone"
236,1829,1912,"Booth, William"
237,1808,1890,"Nasmyth, James"
238,1856,1929,"Ferri, Enrico"
239,1963,,"Hutsko, Joe"
240,1870,1942,"Michelson, Miriam"
241,1822,1897,"Optic, Oliver"
242,1887,1963,"MacClure, Victor"
243,1852,1903,Calamity Jane
244,1857,1948,"Atherton, Gertrude Franklin Horn"
245,1826,1887,"Craik, Dinah Maria Mulock"
246,1827,1916,"Coke, Henry J. (Henry John)"
247,1856,1923,"Wiggin, Kate Douglas Smith"
248,,,"Appleton, Victor"
249,1826,1890,"Collodi, Carlo"
250,1886,1947,"Lofting, Hugh"
251,1854,1932,"Sousa, John Philip"
252,1832,1918,"White, Andrew Dickson"
253,1814,1873,"Le Fanu, Joseph Sheridan"
254,1859,1942,"Headland, Isaac Taylor"
255,,,"Steedman, Amy"
256,1874,1940,"Bower, B. M."
257,1829,1919,"Tuckwell, William"
258,1906,1994,"Johnson, Clarence Edgar"
259,1885,1951,"Lewis, Sinclair"
260,1886,1975,"Stout, Rex"
261,,,"Maag, Carl R."
262,,,"Rohrer, Steve"
263,1873,1952,"Azuela, Mariano"
264,1757,1826,"Tyler, Royall"
265,1875,1940,"Buchan, John"
266,,,"Kay, Ross"
267,,,"Kennon, J. L."
268,1759,1805,"Schiller, Friedrich"
269,1855,1898,"Brann, William Cowper"
270,1871,1949,"Fries, Adelaide L. (Adelaide Lisetta)"
271,1866,1943,"Potter, Beatrix"
272,1775,1834,"Lamb, Charles"
273,1764,1847,"Lamb, Mary"
274,1757,1827,"Blake, William"
275,1561,1626,"Bacon, Francis"
276,1709,1784,"Johnson, Samuel"
277,1920,,"Nakashima, Tadashi"
278,1842,1881,"Lanier, Sidney"
279,1838,1910,"Jenkins, Edward"
280,1825,1900,"Wilson, Harriet E."
281,,,"Craft, William"
282,,,"Craft, Ellen"
283,1605,1682,"Browne, Thomas, Sir"
284,1839,1905,"Japp, Alexander H. (Alexander Hay)"
285,1850,1893,"Maupassant, Guy de"
286,1836,1907,"Aldrich, Thomas Bailey"
287,,1241,Snorri Sturluson
288,1811,1863,"Thackeray, William Makepeace"
289,1821,1881,"Dostoyevsky, Fyodor"
290,1775,1818,"Lewis, M. G. (Matthew Gregory)"
291,39,65,Lucan
292,1857,1935,"Arnold, Edwin Lester Linden"
293,1869,1938,"Linderman, Frank Bird"
294,1842,1922,"Wu, Tingfang"
295,1809,1892,"Tennyson, Alfred Tennyson, Baron"
296,,,Japan
297,1474,1533,"Ariosto, Lodovico"
298,1888,1916,"Seeger, Alan"
299,1815,1882,"Trollope, Anthony"
300,1842,1910,"James, William"
301,1667,1745,"Swift, Jonathan"
302,1850,1898,"Bellamy, Edward"
303,1287,1345,"Bury, Richard de"
304,1814,1889,"Mackay, Charles"
305,,,"Gamble, Eliza Burt"
306,1825,1894,"Ballantyne, R. M. (Robert Michael)"
307,1840,1914,"Stevenson, Fanny Van de Grift"
308,1828,1903,"Orr, Sutherland, Mrs."
309,1855,1905,"Sharp, William"
310,,,"Quintus, Smyrnaeus, active 4th century"
311,1947,,"Walter, Russ"
312,46,119,Plutarch
313,1819,1875,"Kingsley, Charles"
314,1825,1911,"Harper, Frances Ellen Watkins"
315,1879,1949,"Naidu, Sarojini"
316,1868,1936,"Gorky, Maksim"
317,,,"Fee, Greg"
318,1593,1683,"Walton, Izaak"
319,,,United States. Arms Control and Disarmament Agency
320,,,United States. Army. Corps of Engineers. Manhattan District
321,,,European Union
322,1875,1935,"Dunbar-Nelson, Alice Moore"
323,1872,1970,"Russell, Bertrand"
324,1849,1916,"Riley, James Whitcomb"
325,1829,1914,"Mitchell, S. Weir (Silas Weir)"
326,1717,1797,"Walpole, Horace"
327,1819,1900,"Ruskin, John"
328,1868,,"Young, Martha"
329,1618,1658,"Lovelace, Richard"
330,1852,1933,"Van Dyke, Henry"
331,1869,1901,"Fairless, Michael"
332,1866,1921,"Hornung, E. W. (Ernest William)"
333,1856,1925,"Haggard, H. Rider (Henry Rider)"
334,1840,1916,"Ellis, Edward Sylvester"
335,,,"Hope, Laura Lee"
336,1850,1904,"Hearn, Lafcadio"
337,1849,1903,"Henley, William Ernest"
338,1830,1912,"Adam, G. Mercer (Graeme Mercer)"
339,1876,,"Edmunds, Charles K. (Charles Keyser)"
340,1840,1900,"Ridpath, John Clark"
341,,,"Carpenter, John A."
342,1951,,"Levy, Steven"
343,1737,1794,"Gibbon, Edward"
344,1777,1852,"Clay, Henry"
345,1782,1850,"Calhoun, John C. (John Caldwell)"
346,1782,1858,"Benton, Thomas Hart"
347,1864,1936,"Brisbane, Arthur"
348,1756,1836,"Godwin, William"
349,1949,,"Kanada, Yasumasa"
350,1848,1922,"Gould, George M. (George Milbrey)"
351,1871,1921,"Pyle, Walter L. (Walter Lytle)"
352,1885,1960,"Yates, Dornford"
353,675,749,"John of Damascus, Saint"
354,1809,1894,"Holmes, Oliver Wendell"
355,1882,1944,"Van Loon, Hendrik Willem"
356,1831,1904,"Bird, Isabella L. (Isabella Lucy)"
357,1847,1927,"Munk, J. A. (Joseph Amasa)"
358,1836,1911,"Gilbert, W. S. (William Schwenck)"
359,,,United States. National Aeronautics and Space Administration
360,,,Geological Survey (U.S.)
361,1872,1956,"Beerbohm, Max, Sir"
362,,,"Whale, George"
363,,,"Murray, John"
364,1864,1949,"Miller, Marion Mills"
365,1866,1923,"Day, Edmund"
366,1830,1905,"Dodge, Mary Mapes"
367,1884,1943,"Merritt, Abraham"
368,1820,1849,"Brontë, Anne"
369,1818,1848,"Brontë, Emily"
370,1862,1913,"Okakura, Kakuzo"
371,1858,1924,"Nesbit, E. (Edith)"
372,1816,1855,"Brontë, Charlotte"
373,,,"Claxton, William J."
374,1564,1593,"Marlowe, Christopher"
375,,,"Mandeville, John, Sir"
376,1848,1909,"Badger, Jos. E. (Joseph Edward)"
377,-95,-55,"Lucretius Carus, Titus"
378,1771,1810,"Brown, Charles Brockden"
379,1880,,"Talbot, Frederick Arthur Ambrose"
380,1783,1842,Stendhal
381,1713,1768,"Sterne, Laurence"
382,1896,1940,"Fitzgerald, F. Scott (Francis Scott)"
383,1842,1900,"Sullivan, Arthur"
384,1866,1933,"Tolstoi, Ilia Lvovich, Graf"
385,1805,1859,"Tocqueville, Alexis de"
386,1875,1964,"Barber, H. (Horatio)"
387,1869,1951,"Casson, Herbert Newton"
388,1870,1941,"Dyer, Frank Lewis"
389,1856,1924,"Martin, Thomas Commerford"
390,,,"Tymon, Frank"
391,,,"Apollonius, Rhodius"
392,,,"Chrétien, de Troyes, active 12th century"
393,1874,1960,"McSpadden, J. Walker (Joseph Walker)"
394,1857,1929,"Veblen, Thorstein"
395,1825,1900,"Blackmore, R. D. (Richard Doddridge)"
396,1806,1870,"Simms, William Gilmore"
397,1828,1867,"Timrod, Henry"
398,1759,1825,"Weems, M. L. (Mason Locke)"
399,1800,1859,"Macaulay, Thomas Babington Macaulay, Baron"
400,1838,1915,"Smith, Francis Hopkinson"
401,,1711,"Rowlandson, Mary White"
402,1859,1952,"Dewey, John"
403,1882,1951,"Mayo, Margaret"
404,1846,1904,"Bacon, John M. (John Mackenzie)"
405,1860,1938,"Wister, Owen"
406,1890,1976,"Christie, Agatha"
407,55,135,Epictetus
408,1882,1947,"Vivian, Evelyn Charles"
409,1886,1963,"Marsh, W. Lockwood (William Lockwood)"
410,1807,1892,"Whittier, John Greenleaf"
411,1819,1891,"Lowell, James Russell"
412,1823,1902,"Stoddard, Elizabeth"
413,1821,1869,"Duff Gordon, Lucie, Lady"
414,1886,1944,"Der Ling, Princess"
415,1767,1848,"Adams, John Quincy"
416,,,"Marion, Fulgence"
417,1867,,"Dana, Marvin"
418,1869,1943,"Veiller, Bayard"
419,1862,1947,"Russell, Thomas Herbert"
420,1832,1910,"Chanute, Octave"
421,1850,,"Jackman, William J. (William James)"
422,1856,1950,"Shaw, Bernard"
423,,1788,"Filson, John"
424,1814,1841,"Lermontov, Mikhail Iurevich"
425,1878,1959,"Hazeltine, Alice Isabel"
426,1632,1677,"Spinoza, Benedictus de"
427,1764,1830,"James, William Dobein"
428,,,United States. Presidents
429,1857,1929,"Miller, Gustavus Hindman"
430,,,"Nagel, Bart"
431,,,St. Jude
432,1952,,"Sirius, R. U."
433,,,"Waters, W. G., Mrs."
434,1809,1849,"Poe, Edgar Allan"
435,1839,1886,"Ryan, Abram Joseph"
436,1789,1851,"Cooper, James Fenimore"
437,1841,1922,"Hudson, W. H. (William Henry)"
438,1809,1882,"Darwin, Charles"
439,1888,1951,"Haldeman-Julius, E. (Emanuel)"
440,1887,1941,"Haldeman-Julius, Marcet"
441,1774,1843,"Southey, Robert"
442,1839,1882,"Kendall, Henry"
443,1853,1911,"Pyle, Howard"
444,1802,1870,"Dumas, Alexandre"
445,1785,1866,"Peacock, Thomas Love"
446,1856,1919,"Stewart, Cal"
447,1852,1930,"Freeman, Mary Eleanor Wilkins"
448,1849,1930,"Munro, John"
449,1812,1888,"Lear, Edward"
450,1849,1926,"Key, Ellen"
451,1823,1911,"Higginson, Thomas Wentworth"
452,1871,1909,"Synge, J. M. (John Millington)"
453,1547,1616,"Cervantes Saavedra, Miguel de"
454,1265,1321,Dante Alighieri
455,1823,1893,"Parkman, Francis"
456,1868,1947,"Osbourne, Lloyd"
457,1753,1814,"Rumford, Benjamin, Graf von"
458,1847,1912,"Grossmith, George"
459,1852,1919,"Grossmith, Weedon"
460,1893,1918,"Owen, Wilfred"
461,1819,1895,"Venables, Edmund"
462,1813,1873,"Livingstone, David"
463,1828,1909,"Meredith, George"
464,1867,1955,"McCabe, Joseph"
465,1844,1926,"Summerhayes, Martha"
466,1795,1881,"Carlyle, Thomas"
467,,,American Tract Society
468,1842,1901,"Fiske, John"
469,1823,1892,"Freeman, Edward A. (Edward Augustus)"
470,1822,1885,"Grant, Ulysses S. (Ulysses Simpson)"
471,1840,1902,"Zola, Émile"
472,1867,1942,"Bramah, Ernest"
473,1862,1919,"Altsheler, Joseph A. (Joseph Alexander)"
474,1809,1852,"Gogol, Nikolai Vasilevich"
475,1837,1902,"Bishop, Nathaniel H. (Nathaniel Holmes)"
476,,,"First Presbyterian Church (Marion, Ohio). Ladies' Aid Society"
477,,,"Roth, Lewis"
478,1860,1946,"Seton, Ernest Thompson"
479,,,"Cambrensis, Giraldus"
480,1707,1754,"Fielding, Henry"
481,,,"Saxo, Grammaticus"
482,1858,1932,"Brieux, Eugène"
483,1846,1935,"Green, Anna Katharine"
484,1861,1922,"Duncan, Sara Jeannette"
485,-431,-355,Xenophon
486,1811,1882,"Draper, John William"
487,1847,1922,"Meynell, Alice"
488,1670,1729,"Congreve, William"
489,1847,1921,"Rougemont, Louis de"
490,1826,1915,"Boldrewood, Rolf"
491,,,"Rabelais, François"
492,1808,1887,"Spooner, Lysander"
493,1796,1859,"Prescott, William Hickling"
494,1591,1674,"Herrick, Robert"
495,1791,1871,"Babbage, Charles"
496,1877,1942,"Packard, Frank L. (Frank Lucius)"
497,1851,1928,"Coulter, John Merle"
498,1876,1944,"Cobb, Irvin S. (Irvin Shrewsbury)"
499,1872,1959,"Mims, Edwin"
500,1820,1893,"Tyndall, John"
501,1469,1527,"Machiavelli, Niccolò"
502,1864,1943,"Crile, George Washington"
503,1811,1872,"Gautier, Théophile"
504,1830,1903,"Brooks, Noah"
505,1834,1882,"Thomson, James"
506,1889,1973,"Aiken, Conrad"
507,,,"Wetmore, Helen Cody"
508,1905,1982,"Rand, Ayn"
509,,1471,"Malory, Thomas, Sir"
510,1821,1880,"Flaubert, Gustave"
511,1868,1918,"Rostand, Edmond"
512,1880,1932,"Strachey, Lytton"
513,1874,1911,"Reed, Myrtle"
514,1880,1956,"Mencken, H. L. (Henry Louis)"
515,1887,1943,"Redgrove, H. Stanley (Herbert Stanley)"
516,,,"Lefebure, Victor"
517,1857,1903,"Lyall, Edna"
518,1878,1967,"Masefield, John"
519,1759,1796,"Burns, Robert"
520,1868,1950,"Masters, Edgar Lee"
521,1869,1937,"Butler, Ellis Parker"
522,1749,1832,"Goethe, Johann Wolfgang von"
523,1779,1839,"Galt, John"
524,1873,1947,"Davis, James J. (James John)"
525,1824,1890,"Blades, William"
526,1853,1931,"Caine, Hall, Sir"
527,1878,1957,"Dunsany, Lord"
528,1836,1902,"Harte, Bret"
529,1866,1946,"Oppenheim, E. Phillips (Edward Phillips)"
530,1825,1895,"Huxley, Thomas Henry"
531,,,"Reynolds, John N. (John Newton)"
532,1869,1955,"Scott, Walter Dill"
533,1847,1915,"Gross, Hans"
534,1888,1965,"Eliot, T. S. (Thomas Stearns)"
535,1819,1892,"Whitman, Walt"
536,1884,1967,"Ransome, Arthur"
537,1860,1935,"Addams, Jane"
538,1866,1941,"Von Arnim, Elizabeth"
539,1876,1945,"Lindsay, David"
540,1862,1946,"Bannerman, Helen"
541,1858,1932,"Oliver, Charles A. (Charles Alexander)"
542,1863,1894,"Murray, R. F. (Robert Fuller)"
543,1859,1907,"Thompson, Francis"
544,1878,1944,"Waterlow, Sydney"
545,1870,1938,"Cardozo, Benjamin N. (Benjamin Nathan)"
546,1870,1954,"Le Roy, Edouard"
547,1860,1938,"McCarter, Margaret Hill"
548,1841,1919,"Wallace, Donald Mackenzie"
549,1837,1908,"Trueman, Howard"
550,1857,1915,"Bullen, Frank Thomas"
551,1863,,"Nield, Jonathan"
552,1814,1884,"Reade, Charles"
553,1839,1908,Ouida
554,1796,1878,"Bonneville, Benjamin Louis Eulalie de"
555,1819,1861,"Clough, Arthur Hugh"
556,1803,1873,"Lytton, Edward Bulwer Lytton, Baron"
557,1757,1820,"Volney, C.-F. (Constantin-François)"
558,1847,1916,"Troward, T. (Thomas)"
559,1720,1793,"White, Gilbert"
560,1855,1916,"Lowell, Percival"
561,1792,1848,"Marryat, Frederick"
562,1895,1985,"Graves, Robert"
563,1846,1918,"Holmes, Thomas"
564,1767,1849,"Edgeworth, Maria"
565,1888,1923,"Mansfield, Katherine"
566,1855,1920,"Schreiner, Olive"
567,,1678,"Lobo, Jerónimo"
568,1862,1910,"Henry, O."
569,1850,,"Zerbe, James Slough"
570,1894,1980,"Stewart, Donald Ogden"
571,1827,1901,"Spyri, Johanna"
572,1893,1953,"Tilden, William T. (William Tatem)"
573,1876,1932,"Plaatje, Sol. T. (Solomon Tshekisho)"
574,1875,1950,"Sabatini, Rafael"
575,1857,1903,"Gissing, George"
576,1825,1915,"Keene, H. G. (Henry George)"
577,1852,1936,"Cunninghame Graham, R. B. (Robert Bontine)"
578,1822,1896,"Hughes, Thomas"
579,1848,1925,"Carvalho, David Nunes"
580,1867,1928,"Blasco Ibáñez, Vicente"
581,1846,1911,"Nation, Carry Amelia"
