id,birth_year,death_year,name
4294,1847,,"Willard, J. H. (James Hartwell)"
4295,1850,,"Menant, Delphine"
4296,1855,1903,"Shaw, Edward R. (Edward Richard)"
4297,1864,1903,"Mabini, Apolinario"
4298,1862,1918,"Kearns, Thomas"
4299,1871,1934,"Williams, Archibald"
4300,1825,1909,"Barfus, E. von (Eginhard)"
4301,1793,1866,"Almqvist, C. J. L. (Carl Jonas Love)"
4302,1868,1950,"MacCulloch, J. A. (John Arnott)"
4303,1866,1937,"Morang, George N. (George Nathaniel)"
4304,1810,1888,"Clarke, James Freeman"
4305,1795,1869,"Smolnikar, Andrew B. (Andreas Bernardus)"
4306,,,"Fraser, Helen"
4307,,,"Mirmont, Madame Henri de la Ville de"
4308,,,"Soulsby, Lucy Helen Muriel"
4309,1859,1942,"Porter, Charlotte Endymion"
4310,,1926,"Clarke, Helen Archibald"
4311,1864,1933,"Mackay, John Henry"
4312,1870,1929,"Sharp, Dallas Lore"
4313,1832,1885,"Vallès, Jules"
4314,,,"Chabot, Alphonse"
4315,1865,1950,"De Wolfe, Elsie"
4316,1864,1955,"Mahood, J. W. (John Wilmot)"
4317,1863,1915,"Kurikka, Matti"
4318,1805,1865,"Ferland, Jean-B.-A. (Jean-Baptiste-Antoine)"
4319,1629,1695,"Huygens, Christiaan"
4320,,,Saemund Sigfusson
4321,1862,1920,Kauppis-Heikki
4322,1864,1916,"Casement, Roger"
4323,,,Elector
4324,1852,1930,"Goss, Charles Frederic"
4325,1822,1897,"Ashton, Warren T."
4326,1893,1950,"Laski, Harold Joseph"
4327,1875,1925,"Willman, Elvira"
4328,1883,1972,"MacKenzie, Compton"
4329,1743,1816,"Derzhavin, Gavriil Romanovich"
4330,1868,1947,"Blythe, Samuel G. (Samuel George)"
4331,1857,1920,"Rolleston, T. W. (Thomas William)"
4332,1835,1920,"Cilley, Jonathan Prince"
4333,1839,1908,"Fréchette, Louis Honoré"
4334,1829,1899,"Cusack, Mary Frances"
4335,,,"Farrar, J. Maurice"
4336,1867,,"Gibson, H. W. (Henry William)"
4337,,,New Zealand. Special Committee on Moral Delinquency in Children and Adolescents
4338,1920,,"Snoek, Johan M."
4339,1834,1886,"Hernández, José"
4340,1858,1939,"Ruyra, Joaquín"
4341,,,"Swainson, Frederick"
4342,,,"Kincaid, P. R."
4343,,,"Stutzman, John J."
4344,1834,1903,"Westall, William"
4345,1743,1805,"Paley, William"
4346,1884,,"Roberts, Lloyd"
4347,1812,1882,"Louandre, Charles"
4348,1886,1933,"Almario, Rosauro"
4349,,,"Clark, Sue Ainslie"
4350,1822,1896,"Goncourt, Edmond de"
4351,1830,1870,"Goncourt, Jules de"
4352,1844,1895,"Jahnsson, Evald Ferdinand"
4353,,,"Léo, André"
4354,1842,1905,"Heredia, José-Maria de"
4355,,,"Jordanes, active 6th century"
4356,1860,1911,"Dix, Edwin Asa"
4357,1869,1966,"Català, Víctor"
4358,1857,1917,"Sherley, Douglass"
4359,1880,,"Cruz, Hermenegildo"
4360,1884,1916,"Hankey, Donald"
4361,,,"Throop, Lucy Abbot"
4362,1874,1955,"Spence, Lewis"
4363,1844,1897,Faucher de Saint-Maurice
4364,,,"Prest, Thomas Preskett"
4365,1851,1929,"Tyler, John M. (John Mason)"
4366,1839,1887,"Brassey, Annie"
4367,1855,1924,"Reijonen, Juho Heikki"
4368,,,"Steinmetz, Margaret Bird"
4369,1864,1952,"Lippmann, Julie Mathilde"
4370,,,"Payne, Francis Loring"
4371,1860,,"Comstock, Harriet T. (Harriet Theresa)"
4372,1797,1840,"Blackwell, John, Alun"
4373,1826,1908,"Ellinwood, Frank F. (Frank Field)"
4374,1869,1908,"Laidlaw, A. H. (Alexander Hamilton)"
4375,1851,1939,"Hopkinson, Alfred, Sir"
4376,,,"Walton, Mary Alice"
4377,,,"Tower, G. B. N. (George Bates Nichols)"
4378,1872,,"Olson, Oscar Ludvig"
4379,1839,1905,"Butterworth, Hezekiah"
4380,1856,1953,"Lahee, Henry Charles"
4381,1859,1925,"Cholmondeley, Mary"
4382,1835,1922,"Dicey, Albert Venn"
4383,1845,1893,"Minto, William"
4384,1867,1932,"Hooker, Forrestine C. (Forrestine Cooper)"
4385,,,"Sea, Sophie Fox"
4386,1884,,"Lange, Algot"
4387,,,"Nielsen, Peter, active 1922-1937"
4388,1892,,"Briggs, Isaac George"
4389,1854,1885,"Wheeler, Edward L. (Edward Lytton)"
4390,1837,1903,"Rand, Edward A. (Edward Augustus)"
4391,,,Portugal
4392,1583,1645,"Grotius, Hugo"
4393,1841,1909,"Runciman, Thomas"
4394,1819,1892,"Lett, William Pittman"
4395,1855,1898,"Rodenbach, Georges"
4396,1747,1794,"Bürger, Gottfried August"
4397,1885,,"Parker, Cornelia Stratton"
4398,1864,1951,"Miller, Freeman Edwin"
4399,,1870,"Bigelow, Mary Ann H. T. (Mary Ann Hubbard Townsend)"
4400,348,,Prudentius
4401,1857,1919,"Gjellerup, Karl"
4402,1836,,"Day, Mary L."
4403,1834,1919,"Upton, George P. (George Putnam)"
4404,1856,1939,"Freud, Sigmund"
4405,1848,1930,"Edmundson, George"
4406,1862,1931,"Wells-Barnett, Ida B."
4407,1866,1892,"Aldrich, Anne Reeve"
4408,,,"Salisbury, Helen M."
4409,1865,1945,"Jackson, Josephine A. (Josephine Agnes)"
4410,,,"Benjamin, of Tudela, active 12th century"
4411,,,"Dechmann, Louis"
4412,1853,1935,"Paul, Herbert W. (Herbert Woodfield)"
4413,1789,1862,"Döring, Heinrich"
4414,,1623,"Pemble, William"
4415,1863,1952,"Santayana, George"
4416,1869,1959,"Norton, Arthur O."
4417,,,"Potts, Eugenia Dunlap"
4418,,,"Stewart, Anna Bird"
4419,1864,1938,"Nušić, Branislav"
4420,1849,1926,"Sweeney, Z. T. (Zachary Taylor)"
4421,1863,1947,"Thomas, William Isaac"
4422,,,"Peterman, Alexander L."
4423,1866,1926,"Nissinen, Alli"
4424,1878,1944,"Forrester, Izola L. (Izola Louise)"
4425,1745,1832,"Lee, Andrew"
4426,1888,1974,"Raymond, Ernest"
4427,1745,1833,"More, Hannah"
4428,1866,,"Rich, Walter H. (Walter Herbert)"
4429,,,"Grandy, Moses"
4430,1847,1919,"Hyades, Paul"
4431,1833,1896,"Cotteau, Edmond"
4432,1839,1906,"Tissandier, Albert"
4433,,,"Gronniosaw, James Albert Ukawsaw"
4434,1823,1885,"Barcia, Roque"
4435,1840,1914,"Viana, Aniceto dos Reis Gonçalves"
4436,1842,1907,"Abreu, Guilherme Augusto de Vasconcelos"
4437,1879,1965,"Baekelmans, Lode"
4438,1857,,"Deschamps, Émile"
4439,1873,1930,"Peters, Lulu Hunt"
4440,1859,1922,"Schleich, Carl Ludwig"
4441,1852,1939,"Read, Opie Percival"
4442,1854,1922,"Corbett, Julian Stafford"
4443,1875,1941,"Underhill, Evelyn"
4444,1881,1924,"Haan, Jacob Israël de"
4445,1869,1942,"Scott, John Reed"
4446,1849,1908,"Stroyer, Jacob"
4447,1738,1814,"Phillip, Arthur"
4448,1842,,"Glass, Nancy Rebecca Campbell"
4449,1633,1685,"Haines, Richard"
4450,1908,1973,"Cooper, Henry St. John"
4451,1813,1899,"Hannikainen, Pietari"
4452,,,"Thomas, C. H."
4453,1861,1931,"Hammond, Natalie Harris"
4454,1815,1864,"Boole, George"
4455,1873,1947,"Beresford, J. D. (John Davys)"
4456,1803,,"Lane, Lunsford"
4457,,,"Kingsley, Walter J."
4458,1888,1982,"Pemberton, Murdock"
4459,1891,1995,"Bernays, Edward L."
4460,1889,1947,"Hoffenstein, Samuel"
4461,1850,1917,"McGovern, John"
4462,1827,1916,"Martin, W. A. P. (William Alexander Parsons)"
4463,1823,1898,"Noad, Joseph"
4464,,,"Toledano, C. A."
4465,1813,,"Green, J. D. (Jacob D.)"
4466,1864,1938,"Reyes y Florentino, Isabelo de los"
4467,1809,1870,"Pennington, James W. C."
4468,1863,1917,"Phillipps, L. March (Lisle March)"
4469,,,"Francis, Stella M."
4470,1552,1638,"Chiabrera, Gabriello"
4471,1727,1795,"Marsili, Giovanni"
4472,,,"Fischer, George Alexander"
4473,1860,,"Vredenburg, Edric"
4474,1829,1871,Ponson du Terrail
4475,1829,1883,"Cook, Dutton"
4476,1840,1888,"Premio-Real, comte de"
4477,1863,1916,"Münsterberg, Hugo"
4478,1847,1937,"Runciman, Walter Runciman, Baron"
4479,1897,1945,"Bibesco, Elizabeth"
4480,,,United States. Office of Civil Defense
4481,1872,1966,"Van Warmelo, Dietlof"
4482,1866,1948,"Black, George Fraser"
4483,1869,1927,"Ruland, Wilhelm"
4484,1873,1958,"Tomlinson, H. M. (Henry Major)"
4485,1870,1917,"Tate, W. K. (William Knox)"
4486,,,"Withers, Sarah"
4487,1875,1966,"Browne, Hetty Sibyl"
4488,1810,1845,"Griffith, William"
4489,1806,1845,"Baggs, Charles Michael"
4490,,,"Trager, Hannah"
4491,1870,1950,"Smuts, Jan Christiaan"
4492,1821,1895,"Coppée, Henry"
4493,1884,1982,"Swinnerton, Frank"
4494,1850,1916,Jón Ólafsson
4495,1725,1786,"La Trobe, Benjamin"
4496,1814,1897,"Simmonds, P. L. (Peter Lund)"
4497,1596,1680,"Dury, John"
4498,1862,1920,"Poincaré, Lucien"
4499,,,"Beede, Clara Frances McKee"
4500,1872,1960,"Jong, K. H. E. de (Karel Hendrik Eduard)"
4501,1844,1927,"Kilpi, Hilja"
4502,1867,1936,"Van Vorst, Marie"
4503,1873,1928,"Van Vorst, John, Mrs."
4504,1852,1896,"Harris, Augustus"
4505,1849,1921,"Philips, F. C. (Francis Charles)"
4506,1851,1931,"Harper, Ida Husted"
4507,1877,1948,"Pienaar, F. F. (Filippus Fourie)"
4508,,,"Hays, Helen Ashe"
4509,,,"Howell, Ithamar"
4510,1773,1842,"Beatty, William"
4511,1863,1963,"Murray, Margaret Alice"
4512,,,"Duncan, A. W."
4513,,,"Dorman, Marcus Roberts Phipps"
4514,,,"Verhoeff, Carolyn"
4515,1883,1941,"Conquest, Joan"
4516,1804,1867,"Strickland, Samuel"
4517,1859,1921,"Adams, Frederick Upham"
4518,1879,1964,"Beaverbrook, Max Aitken, Baron"
4519,1864,1954,"Werner, E. T. C. (Edward Theodore Chalmers)"
4520,1810,1892,"Bonar, Andrew A. (Andrew Alexander)"
4521,1769,1852,"Wellington, Arthur Wellesley, Duke of"
4522,1862,1931,"Eliot, Charles, Sir"
4523,1844,1922,"Longueville, Thomas"
4524,1848,1908,"Falconer, Lanoe"
4525,,,"Haines, Charles Reginald"
4526,1821,1902,"Still, William"
4527,1865,1933,"Malmberg, Aino"
4528,1854,1912,"Poincaré, Henri"
4529,1793,1850,"Roby, John"
4530,1868,1947,"Bastiaanse, Frans"
4531,1855,1916,"Kelly, Allen"
4532,1880,1916,"Kettle, Tom"
4533,1854,1933,"Councilman, W. T. (William Thomas)"
4534,1743,1822,"Lescallier, Daniel, baron"
4535,1824,1871,"Miles, George Henry"
4536,1873,1924,"Alden, Raymond MacDonald"
4537,1875,1961,"McFadden, Elizabeth A. (Elizabeth Apthorp)"
4538,1852,1908,"Roos, Mathilda"
4539,1863,1932,"Semple, Ellen Churchill"
4540,1862,1921,"Darien, Georges"
4541,1851,1939,Indriði Einarsson
4542,,,"Gilly, William O. S."
4543,1814,1841,"Aubert de Gaspé, Philippe"
4544,,,"Sellar, Gordon"
4545,,,"Sanford, P. Gerald (Percy Gerald)"
4546,1824,1892,"Shea, John Gilmary"
4547,1695,,"Purney, Thomas"
4548,1881,1934,"Lehtonen, Joel"
4549,,,"Beale, Anne"
4550,1802,1877,"Young, Andrew W. (Andrew White)"
4551,1856,1929,"Dana, John Cotton"
4552,1805,1882,"Adams, John Turvill"
4553,1683,1756,"Elstob, Elizabeth"
4554,,1831,"Turner, Nat"
4555,,,"Nieto Aguilar, José"
4556,1848,1924,"Kiljander, Robert"
4557,1799,1890,"McLean, John"
4558,1855,1923,"Tuckerman, Bayard"
4559,,,New Zealand. Committee of the Board of Health
4560,1870,,"Remy, Alfred"
4561,1880,,"Roessler, Erwin W. (Erwin William)"
4562,1855,1934,"Pinero, Arthur Wing"
4563,1844,1921,"Lincoln, Mary J. (Mary Johnson)"
4564,1857,1922,"Sargeaunt, John"
4565,,,"Hix, Melvin"
4566,,,"Chellier, Dorothée"
4567,,,"Deane, David J."
4568,1805,1864,"Surtees, Robert Smith"
4569,1875,1924,"Salmela, Marja"
4570,1874,1946,"Stein, Gertrude"
4571,1815,1854,"Bibb, Henry"
4572,1745,1797,"Equiano, Olaudah"
4573,1838,1910,"Butler, William Francis, Sir"
4574,1842,1932,"Dickinson, Anna E. (Anna Elizabeth)"
4575,1862,,"Leonard, Mary Finley"
4576,,,"Chapman, Thomas"
4577,1754,1817,"Bligh, William"
4578,1858,1925,"Randolph, B.  W. (Berkeley William)"
4579,1883,1960,"Kemp, Harry"
4580,,,"Roke, G. D."
4581,1840,1920,"Starrett, Helen Ekin"
4582,1882,1960,"Colcord, Joanna C. (Joanna Carver)"
4583,1857,1925,"Pardo de Tavera, T. H. (Trinidad Hermenegildo)"
4584,1822,1905,"Bennett, Emerson"
4585,,,"Lang, George"
4586,1860,1933,"Huxley, Leonard"
4587,1870,1953,"Orcutt, William Dana"
4588,1829,1911,"Vilbort, J. (Joseph)"
4589,1835,,"Buckelew, Sarah F. (Sarah Frances)"
4590,1837,,"Lewis, Margaret W. (Margaret Wiseham)"
4591,,,"Kmoch, Georg"
4592,1784,1874,"Kohlmeister, B. G. (Benjamin Gottlieb)"
4593,1758,1805,"Nelson, Horatio Nelson, Viscount"
4594,1874,1939,"Kilpi, Volter"
4595,1865,,"Doubleday, W. E. (William Elliott)"
4596,1870,1948,"Kelley, Francis Clement, Bp."
4597,1563,1631,"Drayton, Michael"
4598,,1602,"Griffin, Bartholomew"
4599,,,"Smith, William, active 1596"
4600,1872,1933,"Griggs, Sutton E. (Sutton Elbert)"
4601,1816,1896,"McGuffey, Alexander H. (Alexander Hamilton)"
4602,1872,1917,"Equilbecq, François-Victor"
4603,,,"Chancel, A. de (Ausone)"
4604,1887,,"Milton, Archie Seldon"
4605,1893,,"Wohlers, Otto K."
4606,,1698,"Winstanley, William"
4607,1880,1918,"Apollinaire, Guillaume"
4608,1802,1866,"Beaumont, Gustave de"
4609,1876,,"Goudiss, Alberta M. (Alberta Moorhouse)"
4610,1880,,"Goudiss, C. Houston (Charles Houston)"
4611,1865,,"Hitchcock, Mary"
4612,1821,1881,"Caithness, James Sinclair, 14th earl of"
4613,1880,1970,"Sawyer, Ruth"
4614,1788,1856,"Sleeman, William"
4615,1855,1924,"Holt, L. Emmett (Luther Emmett)"
4616,,1911,"Baden, Frances Henshaw"
4617,1879,1936,"Holliday, Carl"
4618,1635,1703,"Hooke, Robert"
4619,1880,1954,"Welsh, James C."
4620,1720,1794,"Möser, Justus"
4621,1866,1944,"Dafoe, John Wesley"
4622,1763,1835,"Cobbett, William"
4623,1620,1706,"Evelyn, John"
4624,1828,1890,"Bunce, Oliver Bell"
4625,1868,1947,"Bennett, Ernest Nathaniel, Sir"
4626,1889,1960,"Eyles, Leonora"
4627,1788,1862,"Balagtas, Francisco"
4628,1833,1891,"Alarcón, Pedro Antonio de"
4629,,,"Mann, D. D. (David Dickinson)"
4630,1874,1932,"Martens, Frederick Herman"
4631,1841,1921,"Gilbert, Rosa M. (Rosa Mulholland)"
4632,1854,1906,"Chittenden, Charlotte E. (Charlotte Elizabeth)"
4633,1822,1900,"Bertrand, Joseph"
4634,,,"Stone, Barney"
4635,1887,,"Overton, Jacqueline"
4636,,,"Clay, Beatrice E. (Beatrice Elizabeth)"
4637,1741,1820,"Young, Arthur"
4638,1854,1927,"Eekhoud, Georges"
4639,,,"Mann, Arthur M."
4640,1806,1877,"Rogers, Henry"
4641,1710,1762,"Maillard, Antoine Simon"
4642,,1945,"Manning, Marie"
4643,1839,1925,"Vail, Henry Hobart"
4644,1794,1841,"Drake, Benjamin"
4645,1841,1923,"Chevalier, Ulysse"
4646,1843,1904,"Ingraham, Prentiss"
4647,1852,1929,"Chirol, Valentine, Sir"
4648,1841,1898,"Black, William"
4649,1882,1934,"Peet, T. Eric (Thomas Eric)"
4650,,,"Dickson, Marguerite"
4651,,,"Sainct Maixant, M."
4652,1790,1872,"Wentworth, W. C. (William Charles)"
4653,1692,1785,"Burigny, M. de (Jean Lévesque)"
4654,1870,1928,"Roschier, Tekla"
4655,,,American School of Correspondence
4656,1831,1912,"Warren, Henry White"
4657,,,"Brown, William Norman"
4658,1845,1933,"Winship, Albert E. (Albert Edward)"
4659,,,"Fojas, Justo Claudio"
4660,1796,1889,"Carraud, Zulma"
4661,1887,1933,"Daingerfield, Foxhall"
4662,1846,1919,"Pickering, Edward C. (Edward Charles)"
4663,1837,1923,"Elfving, Betty"
4664,1772,1857,"La Rochejaquelein, Marie-Louise-Victoire marquise de"
4665,,,"Stevenson, William G."
4666,1863,1934,"Abbot, Willis J. (Willis John)"
4667,1648,1705,"Besnier, Pierre"
4668,1799,1845,"Hood, Thomas"
4669,1867,1952,"Zwemer, Samuel Marinus"
4670,,,"Zwemer, Amy E."
4671,1869,1930,"Fassett, James H. (James Hiram)"
4672,1738,1821,"Hunter, John"
4673,1858,1921,"Bennett, Charles E. (Charles Edwin)"
4674,1815,1873,"Gibbs, George"
4675,1440,1521,"Pina, Rui de"
4676,1652,1715,"Dampier, William"
4677,1668,1738,"Boerhaave, Herman"
4678,1854,1925,"Milner, Alfred Milner, Viscount"
4679,1885,,"OBrien, Francis Paul"
4680,,,Amerel
4681,1861,1935,"Barnes, Earl"
4682,,,"Talmage, Eleanor McCutcheon"
4683,1814,1860,"Southwell, Charles"
4684,,,"Woodward, A."
4685,1861,1930,"Lundegård, Axel"
4686,1850,1888,"Benedictsson, Victoria"
4687,1867,1945,"Diver, Maud"
4688,1872,,"Heath, Sidney"
4689,1860,1938,"Luff, John N. (John Nicholas)"
4690,1875,1951,"Gates, Eleanor"
4691,1873,1935,"Bleyer, Willard Grosvenor"
4692,1628,1692,"Crisp, Stephen"
4693,1864,1934,"Bülow, Waldemar"
4694,1793,1875,"Corbière, Edouard"
4695,1849,1891,"Williams, George Washington"
4696,1873,1934,"Wassermann, Jakob"
4697,1883,1957,"Edginton, May"
4698,1856,,"Hülshof, John Ludwig"
4699,,,Methuen & Co.
4700,1832,1909,"Gorham, George C. (George Congdon)"
4701,1816,1899,"Field, Stephen J. (Stephen Johnson)"
4702,1807,1859,"Glaubrecht, O. (Otto)"
4703,1862,1944,"Lee, Gerald Stanley"
4704,1851,1926,"Wicksell, Knut"
4705,1890,1970,"Ackerman, Carl W. (Carl William)"
4706,1870,1946,"Tidwell, Josiah Blake"
4707,1869,1913,"Warner, Anne"
4708,1883,1946,"Keynes, John Maynard"
4709,1887,1956,"Kaye-Smith, Sheila"
4710,1857,1943,"Moore, Edward Caldwell"
4711,1808,1842,"Espronceda, José de"
4712,1832,1901,"Wigström, Eva"
4713,1642,1727,"Newton, Isaac, Sir"
4714,1852,1908,"Franson, Fredrik"
4715,1847,1902,"Holub, Emil"
4716,1787,1864,"Karadžić, Vuk Stefanović"
4717,1810,1884,"Napier, James"
4718,1834,,"Caswell, Harriet S."
4719,1868,1934,"Betts, George Herbert"
4720,1859,1931,"Tomlinson, Everett T. (Everett Titsworth)"
4721,,,"Ritchie, Eric Moore"
4722,1852,1943,"Morrison, William Douglas"
4723,1846,1901,"Greenaway, Kate"
4724,1869,1933,"Allen, P. S. (Percy Stafford)"
4725,1825,1915,"Wishard, S. E. (Samuel Ellis)"
4726,1867,1920,"Toulet, Paul Jean"
4727,,,"French, Sarah"
4728,,,"Clark, Sereno D. (Sereno Dickenson)"
4729,1835,,"Pitray, Olga de Ségur, vicomtesse"
4730,,,"Hawkes, J. Marshall"
4731,1884,,"Dalrymple, Leona"
4732,,,"Beers, Fannie A."
4733,1876,,"Bond, A. Russell (Alexander Russell)"
4734,1602,1681,"Lilly, William"
4735,1889,1945,"Benchley, Robert"
4736,1856,,"Gray, James"
4737,1739,1793,"Erskine, Andrew"
4738,1732,1818,"Dempster, George"
4739,1840,1909,"Goodsell, Daniel A. (Daniel Ayres)"
4740,1857,1927,"Crothers, Samuel McChord"
4741,1685,1750,"Hill, Aaron"
4742,1840,1902,"Bader, Clarisse"
4743,1800,1882,"Sparks, W. H. (William Henry)"
4744,1880,1962,"Lockett, Hattie Greene"
4745,1857,1914,"Stuart, Janet Erskine"
4746,1845,1885,"Adams, J. S., Mrs."
4747,1859,1921,"Beeston, Joseph Lievesley"
4748,1866,1919,"Leino, Kasimir"
4749,1721,1809,"Elphinston, James"
4750,1891,1960,"Hurston, Zora Neale"
4751,1750,1831,"Grégoire, Henri"
4752,1823,1884,"Polén, Rietrik"
4753,1614,1695,"Merret, Christopher"
4754,1786,1863,"Franchère, Gabriel"
4755,1819,1880,"Offenbach, Jacques"
4756,1878,1946,"Raisin, Jacob S. (Jacob Salmon)"
4757,,,"Hall, S. Elizabeth"
4758,1878,1932,"Alexander, John L."
4759,1874,1941,"Lindsay, Maud"
4760,1889,1977,"Baldridge, Cyrus Leroy"
4761,1889,,"Baukhage, Hilmar R. (Hilmar Robert)"
4762,,,"Cool, Thomas"
4763,1878,1940,"Kendall, Ralph S. (Ralph Selwood)"
4764,1862,1920,"Adam, Paul"
4765,1878,1961,"Miller, Elizabeth"
4766,,1880,"Forrest, E. W. (Edmund William)"
4767,1882,1953,"Hellström, Gustaf"
4768,1766,1848,"Disraeli, Isaac"
4769,1800,1881,"Hall, S. C., Mrs."
4770,1801,1850,"Bastiat, Frédéric"
4771,1864,1946,"Graydon, William Murray"
4772,1818,1872,"Eurén, Gustaf Erik"
4773,1787,1828,"English, George Bethune"
4774,,,"Jacson, Mainwaring George"
4775,1871,1940,"Mollinger-Hooyer, Dina"
4776,1814,1903,Hildebrand
4777,1824,1899,"Moore, Bloomfield H., Mrs. (Clara Jessup)"
4778,1819,1864,"Castro, Modesto  de"
4779,1842,1893,"Lucio y Bustamante, M."
4780,,,"Herbert, Mary E."
4781,1887,1960,"Holley, Horace"
4782,1807,1879,"Runeberg, Fredrika Charlotta Tengström"
4783,1848,1893,"Ongelin, Hanna"
4784,1839,1905,"Augusta, Clara"
4785,1885,,"Gibergues, Emmanuel de"
4786,1867,1956,"Marchant, James, Sir"
4787,,,"Falstaffe, John, Sir"
4788,1794,1869,"Carleton, William"
4789,1812,1898,"Grey, George, Sir"
4790,,,"Head, Brandon"
4791,,,"Davis, F. Hadland (Frederick Hadland)"
4792,,,"Vasse, Guillaume"
4793,1874,,"Blaisdell, Mary Frances"
4794,1836,1904,"Hopkins, Ellice"
4795,1824,1895,"Thomes, William Henry"
4796,,1897,Duchess
4797,1856,1932,"Kunz, George Frederick"
4798,,,"Harvey, Harold"
4799,,,"Langsdorff, Baron de"
4800,,,"Roserot de Melin, L."
4801,1885,1940,"Heyward, DuBose"
4802,1889,1949,"Allen, Hervey"
4803,,1909,"Leavitt, Thad. W. H. (Thaddeus William Henry)"
4804,,,"Leavitt, Lydia"
4805,1846,1916,Maria
4806,1898,1927,"Herlevi, Helvi"
4807,1857,1913,"Gripenberg, Alexandra, friherrinna"
4808,1855,1900,"Fries, Ellen"
4809,1877,1944,"Fitch, Albert Parker"
4810,1890,1963,"MacGill, Patrick"
4811,1860,1898,"Willing, Thomson"
4812,1853,1914,"Delgado, Rafael"
4813,1838,1911,"Pringle, Cyrus G. (Cyrus Guernsey)"
4814,1857,1929,"Warden, Florence"
4815,1884,1948,"Harré, T. Everett (Thomas Everett)"
4816,1838,1918,"Werner, E."
4817,,,"Balfour, Frederic Henry"
4818,1862,1924,"Wagner, Madge Morris"
4819,1871,1938,"Álvarez Quintero, Serafín"
4820,1873,1944,"Álvarez Quintero, Joaquín"
4821,,,"Aconite, Tobias"
4822,1881,,"Levison, Jacob Joshua"
4823,1811,1887,"Coffinières de Nordeck, Grégoire-Gaspard-Félix"
4824,,,Beirt Fhear
4825,,,Gruagach an Tobair
4826,1860,1934,"Ó Duinnín, An tAthair Pádraig"
4827,,,Chonán Maol
4828,1892,1983,"West, Rebecca"
4829,,,New Zealand. Court of Appeal
4830,1870,1936,"Hales, A. G. (Alfred Greenwood)"
4831,1877,1936,"Rout, Ettie Annie"
4832,1888,1959,"Dulles, John Foster"
4833,,,"Hart, Fanny Wheeler"
4834,1858,1923,"Fitzmaurice-Kelly, James"
4835,1837,1918,"Handerson, Henry E. (Henry Ebenezer)"
4836,1847,1939,"Lynch, John Roy"
4837,1880,1934,"Weigall, Arthur E. P. Brome (Arthur Edward Pearse Brome)"
4838,,,"Grey, John W."
4839,1815,1872,"Halleck, H. W. (Henry Wager)"
4840,1880,1963,"Hendryx, James B. (James Beardsley)"
4841,1868,1924,"Clutton-Brock, A. (Arthur)"
4842,1833,1903,"Macmillan, Hugh"
4843,,,"Smith, Thomas Barlow"
4844,1858,1933,"Starr, Frederick"
4845,1861,1930,"Barton, William Eleazar"
4846,1869,,"Soares, Theodore Gerald"
4847,1860,1938,"Strong, Sydney"
4848,1836,1906,"Campbell, Dudley M."
4849,1865,1909,"Fitch, Clyde"
4850,1873,,"Martín de la Cámara, Eduardo"
4851,,,"Brunt, Samuel"
4852,,,"Savage, William T., Mrs."
4853,1807,1868,"Bullitt, Alexander Clark"
4854,1818,1898,"Topelius, Zacharias"
4855,1776,1847,"Dibdin, Thomas Frognall"
4856,,,"Home, Ethel"
4857,1829,1888,"Oliphant, Laurence"
4858,1794,1865,"Everett, Edward"
4859,,,Sutton & Sons Ltd.
4860,1710,1779,"Morris, Corbyn"
4861,1813,1878,"Bernard, Claude"
4862,,,"Frontinus, Sextus Julius"
4863,1724,1803,"Klopstock, Friedrich Gottlieb"
4864,,,"Hoyt, Deristhe L. (Deristhe Levinte)"
4865,1853,1925,"Vaughan, John S. (John Stephen)"
4866,1825,1886,"Landsborough, William"
4867,1866,1919,"Streatfeild, R. A. (Richard Alexander)"
4868,1866,1952,"Broadhurst, George Howells"
4869,1872,1952,"Dawson, A. J. (Alec John)"
4870,,,"Chalmers, Amy D. V."
4871,1864,1936,"Chapple, W. A. (William Allan)"
4872,1841,1913,"Patterson, Virginia Sharpe"
4873,1878,1972,"Gilbreth, Lillian Moller"
4874,1787,1851,"Daguerre, Louis Jacques Mandé"
4875,1874,1928,"Scheler, Max"
4876,1889,1974,"Briefs, Goetz A. (Goetz Antony)"
4877,1880,1942,"Witkop, Philipp"
4878,1868,1951,"Sommerfeld, Arnold"
4879,1882,1937,"Bekker, Paul"
4880,1712,1757,"Moore, Edward"
4881,,1876,"Peters, De Witt C. (De Witt Clinton)"
4882,1674,1718,"Rowe, Nicholas"
4883,1742,1814,"Graham, Isabella"
4884,,,"Hudson, J. Paul"
4885,,,"Cotter, John L."
4886,,,"Hägele, Joseph M."
4887,1863,1928,"March, Francis Andrew"
4888,1879,,"Beamish, Richard Joseph"
4889,1847,1927,"Gerberding, G. H. (George Henry)"
4890,1879,1944,"Footner, Hulbert"
4891,1853,1935,"Tyler, Lyon Gardiner"
4892,1822,1886,"Hobart-Hampden, Augustus Charles"
4893,1696,1769,"Gally, Henry"
4894,,1789,"Brooke, Frances"
4895,1873,1927,"Griswold, B. J. (Bert Joseph)"
4896,1846,1911,"Bradford, Amory H. (Amory Howe)"
4897,1840,1904,"Murray, W. H. H. (William Henry Harrison)"
4898,1882,,"Rivera, Jose Maria"
4899,1843,1908,"Tuason, Joaquín"
4900,1849,1899,"Kepplerus, Anni"
4901,1844,1924,"Bergman, Johan Albert"
4902,1875,,"Miller, Claude Harris"
4903,1888,1955,"Carnegie, Dale"
4904,1867,1946,"Esenwein, J. Berg (Joseph Berg)"
4905,1847,1885,"Campo Arana, José"
